NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Content Category,Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,
,,3.00,Moderate Risk,NF00166,DVD Data Backup File,bup,Software,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00167,DVD Data File,dvd,Software,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00168,DVD File,ifo,Software,2,2,2,2,2,10,-2,2,2,2,-1,3,-1,0,0,0,1,1,0,1,0,1,1,2,0,4,-4,-4,-8,-2,0,1,-2,-3,0,0,0,-1,-1,-1,-2,-1,-1,2,-3,1995,-4,2009,-2,0,3.00,Moderate Risk,
,,-18.00,High Risk,NF00169,Dynamic Link Library,dll,Software,-1,-1,-1,-2,-1,-6,0,0,-1,0,-1,-2,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,-6,0,0,0,-1,-1,-1,0,-1,-1,2,-1,1985,-4,1987,-4,0,-18.00,High Risk,
X,,36.00,Low Risk,NF00170,Electronic Mail Format,eml,Email,2,-1,2,-1,-1,1,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,-1,2,-1,-1,2,1,1982,-4,2013,-2,0,36.00,Low Risk,
,,28.00,Low Risk,NF00171,Encapsulated PostScript 1-3,eps,Presentation/Publishing,-1,2,2,-2,-1,0,-2,2,-1,2,2,3,1,1,1,1,1,1,1,7,1,-1,-1,-1,-1,-3,2,2,4,1,1,1,1,4,1,1,1,0,3,2,2,2,2,2,10,1992,-4,1999,-4,0,28.00,Low Risk,
,,29.00,Low Risk,NF00172,EndNote Import File,enw,Textual,-1,2,2,-2,2,3,-2,2,2,2,-2,2,1,1,1,0,1,1,1,6,1,0,0,-1,1,1,2,2,4,1,1,1,1,4,0,0,1,0,1,2,2,2,2,0,8,1995,-4,2019,0,0,29.00,Low Risk,
,X,9.00,Moderate Risk,NF00173,ESRI ESRI ARC/INFO Interchange File Format ,eoo,Geospatial,-1,-1,-1,-1,-1,-5,2,0,0,2,-1,3,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,0,-2,2,2,4,1,-2,1,1,1,-1,-1,0,-1,-3,2,2,2,2,2,10,2005,-2,2011,-2,0,9.00,Moderate Risk,
,X,13.00,Moderate Risk,NF00174,ESRI Shapefile Compound File,shp; apr; prj; sbn; sbx; fbn; fbx,Geospatial,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,0,13.00,Moderate Risk,
,,13.00,Moderate Risk,NF00175,ESRI World File,wld; blw; bpw; bqw; gfw; tfw,Geospatial,-1,2,-1,-1,2,1,2,2,0,2,2,8,-1,1,1,-1,1,,,1,-1,-1,-1,-1,-1,-5,2,2,4,-2,0,1,0,-1,-1,-1,0,-1,-3,2,,2,2,2,8,1998,-4,1998,-4,0,13.00,Moderate Risk,
,,42.00,Low Risk,NF00176,Exchangeable Image File Format Audio 2.2,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,2005,-2,2014,0,0,42.00,Low Risk,
,,42.00,Low Risk,NF00177,Exchangeable Image File Format Compressed 2.0,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,1997,-4,2014,0,0,42.00,Low Risk,
,,42.00,Low Risk,NF00178,Exchangeable Image File Format Compressed 2.1,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,1998,-4,2014,0,0,42.00,Low Risk,
,,42.00,Low Risk,NF00179,Exchangeable Image File Format Compressed 2.2,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,2002,-4,2014,0,0,42.00,Low Risk,
,,42.00,Low Risk,NF00180,Exchangeable Image File Format Uncompressed 2.1,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,1998,-4,2014,0,0,42.00,Low Risk,
,,42.00,Low Risk,NF00181,Exchangeable Image File Format Uncompressed 2.2,exif,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,0,0,0,0,0,0,2002,-4,2014,0,0,42.00,Low Risk,
,,-23.00,High Risk,NF00182,Executable file,exe,Software,-1,-1,-1,-2,-1,-6,-2,-1,-1,0,-1,-5,-1,0,0,0,1,-1,-1,-2,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-8,0,0,0,-1,-1,-1,0,-1,-1,2,-1,1982,-4,1985,-4,0,-23.00,High Risk,
,X,20.00,Moderate Risk,NF00183,Extended Binary Coded Decimal Interchange Code,ebcdic,Structured Data,2,2,2,-1,0,5,2,-1,-1,-1,-1,-2,1,1,1,0,0,1,1,5,1,1,1,-1,2,4,2,2,4,-2,1,-2,-2,-5,1,1,0,-1,1,2,2,0,2,2,8,1963,-4,1986,-4,0,20.00,Moderate Risk,
X,,39.00,Low Risk,NF00184,Extensible 3D,x3d; x3dv; x3db; x3dz; x3dbz; x3dvz,CAD/3D/Vector Graphics,2,2,2,2,2,10,0,2,2,2,2,8,1,1,1,1,1,1,0,6,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,1,1,0,1,3,2,2,-1,0,0,3,2004,-2,2015,0,0,39.00,Low Risk,
,,41.00,Low Risk,NF00185,eXTensible HYpertext Markup Language 1.0,xhtml,Web Content,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,1,1,3,2,2,2,2,2,10,2000,-4,2002,-4,0,41.00,Low Risk,
,,41.00,Low Risk,NF00186,eXTensible HYpertext Markup Language 1.1,xhtml,Web Content,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,-1,1,-1,0,0,-1,2,2,4,1,-2,1,-2,-2,1,0,1,1,3,2,2,2,2,2,10,2001,-4,2010,-2,0,41.00,Low Risk,
X,,51.00,Low Risk,NF00187,EXtensible Markup Language,xml,Structured Data,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,1,6,2,2,4,1,1,1,1,4,1,1,0,1,3,2,2,2,2,2,10,1996,-4,2008,-2,0,51.00,Low Risk,
,,50.00,Low Risk,NF00188,eXtensible Markup Language Schema,xsd,Web Content,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,-1,1,1,0,2,3,2,2,4,1,1,1,1,4,1,0,0,1,2,2,2,2,2,2,10,2001,-4,2012,-2,0,50.00,Low Risk,
,,37.00,Low Risk,NF00189,eXtensible Metadata Platform,xmp,Structured Data,2,2,2,2,2,10,2,2,2,2,-1,7,-1,1,1,1,1,1,1,5,1,1,1,1,1,5,2,2,4,1,-2,1,-2,-2,1,0,0,1,2,2,2,2,0,0,6,2014,0,2014,0,0,37.00,Low Risk,
X,,51.00,Low Risk,NF00190,EXtensible Style Language,xsl; xslt,Software,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,1,6,2,2,4,1,1,1,1,4,1,1,0,1,3,2,2,2,2,2,10,1996,-4,2008,-2,0,51.00,Low Risk,
,,1.00,Moderate Risk,NF00191,FAX file,fax,Digital Still Image,0,0,0,-2,0,-2,-2,-1,0,2,-1,-2,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,-2,0,0,0,0,0,0,0,2,0,-1,0,1,,-4,,-4,0,1.00,Moderate Risk,
,,6.00,Moderate Risk,NF00192,FileMaker Pro Database 7+,fw2,Database,-1,-1,2,0,0,0,-2,2,2,-1,-1,0,-1,0,0,-1,1,1,0,0,1,0,0,-1,0,0,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,2,0,0,0,2,2004,-2,2006,-2,0,6.00,Moderate Risk,
,,16.00,Moderate Risk,NF00193,Flash Video,flv; f4v,Digital Video,2,2,2,-2,2,6,2,2,2,2,-1,7,-1,-1,1,-1,1,-1,-1,-3,1,1,0,0,0,2,2,2,4,-2,-2,1,-2,-5,1,0,0,-1,0,-1,2,2,0,2,5,2003,-4,2008,-2,0,16.00,Moderate Risk,
,,-2.00,Moderate Risk,NF00194,FoxPro 2.0/2.5/2.6,dbf,Database,-1,-1,-1,0,0,-3,-2,0,-1,0,-1,-4,-1,0,0,-1,0,1,0,-1,1,0,0,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,-2.00,Moderate Risk,
,,-1.00,Moderate Risk,NF00275,FoxPro Memo,fpt,Database,-1,-1,-1,0,0,-3,-2,0,-1,0,-1,-4,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,-1.00,Moderate Risk,
,,-15.00,High Risk,NF00196,Fractal Image Format,fif,Digital Still Image,-1,-1,-1,-2,0,-5,-2,-1,-1,-1,-1,-6,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,2,4,-2,-2,0,-2,-6,0,0,0,-1,-1,0,0,0,0,0,0,0,-4,0,-4,0,-15.00,High Risk,
,,-2.00,Moderate Risk,NF00197,Framework II,fw2,Database,-1,-1,-1,0,0,-3,-2,0,-1,0,-1,-4,-1,0,0,-1,0,1,0,-1,1,0,0,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,1984,-4,1988,-4,0,-2.00,Moderate Risk,
X,,35.00,Low Risk,NF00198,Free Lossless Audio Compression,flac,Digital Audio,2,2,-1,-1,2,4,0,2,0,2,0,4,-1,1,1,1,1,-1,1,3,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,0,2,2,8,2000,-4,2017,0,0,35.00,Low Risk,
X,,50.00,Low Risk,NF00200,Geographic Markup Language,gml,Geospatial,2,2,2,2,2,10,2,0,2,2,2,8,1,1,1,0,0,1,1,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,0,1,0,2,2,2,2,2,2,10,2000,-4,2012,-2,0,50.00,Low Risk,
X,,37.00,Low Risk,NF00201,Geospatial Tagged Image File Format,gtiff; tif; tiff,Geospatial,2,2,2,-1,2,7,2,2,0,2,2,8,-1,1,1,1,1,1,1,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,-1,-1,1,1,0,2,2,0,-1,-1,2,1994,-4,2000,-4,0,37.00,Low Risk,
,X,22.00,Moderate Risk,NF00202,Graphics Interchange Format 87a,gif,Digital Still Image,-1,2,2,-1,2,4,0,0,-1,2,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-2,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,2,2,2,10,1987,-4,1989,-4,0,22.00,Moderate Risk,
,X,34.00,Low Risk,NF00203,Graphics Interchange Format 89a,gif,Digital Still Image,-1,2,2,-1,2,4,2,2,-1,2,2,7,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,2,4,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,2,2,2,10,1989,-4,1989,-4,0,34.00,Low Risk,
,,24.00,Low Risk,NF00204,GZIP Archive,gz; tgz,Software,2,2,2,-2,2,6,2,2,2,0,2,8,-1,0,1,1,1,-1,-1,0,-1,1,-1,0,0,-1,2,2,4,1,0,0,-2,-1,1,1,1,1,4,-1,2,-1,2,2,4,1992,-4,2018,0,0,24.00,Low Risk,
,,3.00,Moderate Risk,NF00205,Harvard Graphics Presentation 2.0,prs shw sh3 pr4,Presentation/Publishing,-1,-1,2,0,0,0,-2,2,-1,-1,0,-2,0,0,0,-1,1,1,1,2,0,0,0,-1,0,-1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,3.00,Moderate Risk,
,,2.00,Moderate Risk,NF00206,Harvard Graphics Vector Graphics Chart 2.0,cht ch3,Presentation/Publishing,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,0,0,0,-1,1,1,1,2,0,0,0,-1,0,-1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,2.00,Moderate Risk,
,,19.00,Moderate Risk,NF00207,Hewlett Packard Vector Graphic Plotter File,hpgl,Presentation/Publishing,-1,-1,-1,0,-1,-4,-2,2,0,2,-1,1,1,0,1,1,1,1,1,6,0,0,0,0,0,0,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,0,2,8,,-4,,-4,0,19.00,Moderate Risk,
,,46.00,Low Risk,NF00208,Hypertext Markup Language,htm; html; xhtml,Web Content,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,1,1,5,2,2,4,1,1,1,1,4,1,1,0,0,2,2,0,0,0,2,4,1993,-4,2014,0,0,46.00,Low Risk,
,,32.00,Low Risk,NF00209,iCalendar,ics,Database,2,2,2,2,2,10,-2,2,2,2,-1,3,1,1,1,0,1,1,1,6,1,0,0,-1,2,2,2,2,4,1,1,1,1,4,1,0,0,0,1,0,2,0,0,0,2,2002,-4,2018,0,0,32.00,Low Risk,
,,-4.00,Moderate Risk,NF00210,Icon file format,ico,Digital Still Image,-1,-1,0,-2,0,-4,2,2,2,2,0,8,0,-1,0,-1,1,1,1,1,0,0,0,-1,-1,-2,-4,2,-2,-2,0,-2,0,-4,0,0,0,-1,-1,0,0,0,0,0,0,1985,-4,,-4,0,-4.00,Moderate Risk,
,,36.00,Low Risk,NF00211,Information/Setup File,info,Software,2,2,0,-2,2,4,2,2,2,2,-1,7,1,1,1,1,1,1,1,7,-1,-1,-1,2,0,-1,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,2,2,10,1986,-4,2017,0,0,36.00,Low Risk,
,,3.00,Moderate Risk,NF00212,Initial Graphics Exchange Specification,igs; iges,CAD/3D/Vector Graphics,2,2,-1,-2,2,3,-2,-1,-1,0,-1,-5,-1,0,0,0,0,0,0,-1,1,1,-1,0,0,1,2,2,4,1,0,0,-2,-1,1,1,1,-1,2,0,0,0,0,0,0,1980,-4,1998,-4,0,3.00,Moderate Risk,
,,-10.00,Moderate Risk,NF00213,Interleaf Document,ildoc,Textual,-1,-1,2,-2,-1,-3,-2,0,-1,-1,-1,-5,0,-1,0,-1,-1,0,0,-3,0,0,0,0,0,0,2,2,4,-2,0,1,-2,-3,-1,0,0,-1,-2,0,2,0,0,0,2,1985,-4,2008,-2,0,-10.00,Moderate Risk,
,,50.00,Low Risk,NF00214,Internet Message Format,n/a,Email,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,-2,1,1,0,0,0,1,2,2,2,2,2,10,1982,-4,2008,-2,0,50.00,Low Risk,
,,32.00,Low Risk,NF00215,Java Archive File,jar,Software,2,2,2,-2,2,6,2,2,2,2,-1,7,-1,0,1,1,1,0,0,2,0,1,-1,0,0,0,2,2,4,1,1,1,1,4,0,0,0,1,1,2,2,2,0,2,8,1995,-4,2018,0,0,32.00,Low Risk,
,,35.00,Low Risk,NF00216,Java Object Code,java,Software,2,2,2,-2,2,6,2,2,2,2,-1,7,1,1,1,1,1,1,-1,5,0,1,-1,0,0,0,2,2,4,1,1,1,1,4,0,0,0,1,1,2,2,2,0,2,8,1995,-4,2018,0,0,35.00,Low Risk,
,,25.00,Low Risk,NF00217,JavaScript,js,Software,2,2,2,-2,2,6,0,0,2,0,-1,1,1,1,0,1,1,1,0,5,0,0,0,0,0,0,2,2,4,1,1,-2,-2,-2,1,0,0,0,1,2,2,2,2,2,10,1995,-4,,-4,0,25.00,Low Risk,
X,,53.00,Low Risk,NF00218,JavaScript Object Notation ,json,Structured Data,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,-1,4,2,2,4,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,10,2001,-4,2017,0,0,53.00,Low Risk,
X,,30.00,Low Risk,NF00219,JPEG 2000 File Format,jp2; jpeg2000; jpeg2000-image; x-jpeg2000-image,Digital Still Image,2,2,2,2,2,10,2,2,2,2,2,10,-1,0,1,1,1,-1,-1,0,1,1,1,2,2,7,2,2,4,1,-2,1,-2,-2,-1,0,0,1,0,-1,2,0,0,0,1,2000,-4,2016,0,0,30.00,Low Risk,
X,,40.00,Low Risk,NF00220,JPEG File Interchange Format,jpg; jpeg; jpe; jfi; jfif; j; jif; jmh; jlx; x-jpg,Digital Still Image,2,2,2,2,2,10,2,2,-1,2,2,7,-1,1,-1,1,1,-1,-1,-1,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,2,2,-1,7,1992,-4,2013,-2,0,40.00,Low Risk,
,,13.00,Moderate Risk,NF00221,JTIP JPEG Tiled Image Pyramid,jtip,Digital Still Image,2,-1,0,-2,-1,-2,-2,-2,-1,0,-1,-6,0,1,1,1,-1,-1,-1,0,1,1,1,1,1,5,2,2,4,1,1,1,1,4,1,1,1,-1,2,2,2,2,0,0,6,1994,-4,,-4,0,13.00,Moderate Risk,
X,,46.00,Low Risk,NF00222,Keyhole Markup Language,kml,Geospatial,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,1,1,1,1,7,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,0,0,1,2,0,2,0,0,0,2,2008,-2,2015,0,0,46.00,Low Risk,
,,-6.00,Moderate Risk,NF00223,Keynote Presentation,KEY,Presentation/Publishing,-1,-1,0,0,0,-2,-2,2,2,-1,-1,0,0,0,0,-1,1,-1,0,-1,1,0,1,-1,0,1,-4,2,-2,-2,1,-2,1,-2,-1,0,0,-1,-2,0,2,0,0,0,2,,-4,,-4,0,-6.00,Moderate Risk,
,,-6.00,Moderate Risk,NF00224,Kodak PhotoCD 1.0,pcd,Digital Still Image,-1,-1,-1,-2,0,-5,-2,-1,-1,2,-1,-3,-1,1,0,0,0,-1,-1,-2,0,1,0,0,0,1,2,2,4,1,1,0,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,1992,-4,2004,-2,0,-6.00,Moderate Risk,
,,23.00,Low Risk,NF00225,LaTeX Master document,tex,Presentation/Publishing,2,2,0,-2,-1,1,-2,2,2,-1,-1,0,1,1,1,1,1,1,1,7,1,-1,0,-1,2,1,2,2,4,1,1,1,1,4,1,0,2,1,4,0,2,0,0,0,2,1983,-4,2018,0,0,23.00,Low Risk,
,,2.00,Moderate Risk,NF00199,Library Linker File,lib,Software,-1,-1,0,-2,2,-2,0,2,2,2,-1,5,-1,1,1,0,1,1,1,4,-1,-1,-1,0,0,-3,2,2,4,-2,0,-2,-2,-6,0,0,0,-1,-1,-1,2,-1,-1,2,1,1995,-4,2017,0,0,2.00,Moderate Risk,
,,9.00,Moderate Risk,NF00226,Lock File,lck; lock,Software,0,-1,0,-2,0,-3,0,0,0,0,-1,-1,1,0,0,1,1,1,1,5,0,0,0,0,0,0,2,2,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,2,1963,-4,,-4,0,9.00,Moderate Risk,
,,38.00,Low Risk,NF00227,Log File,log,Software,2,2,0,2,2,8,2,2,0,2,-1,5,1,1,0,1,1,1,1,6,0,0,0,0,0,0,2,2,4,1,1,1,1,4,1,0,0,0,1,2,2,2,2,2,10,2001,-4,2009,-2,0,38.00,Low Risk,
,,5.00,Moderate Risk,NF00228,Lotus 1-2-3 1.0/1A,wks; 123,Spreadsheet,-1,-1,2,0,0,0,-2,2,-1,-1,2,0,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1983,-4,1991,-4,0,5.00,Moderate Risk,
,,2.00,Moderate Risk,NF00229,Lotus 1-2-3 2.0,wk1; wk2,Spreadsheet,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1984,-4,1993,-4,0,2.00,Moderate Risk,
,,2.00,Moderate Risk,NF00230,Lotus 1-2-3 3.0,wk3,Spreadsheet,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1987,-4,1992,-4,0,2.00,Moderate Risk,
,,2.00,Moderate Risk,NF00231,Lotus 1-2-3 4.0,wk4,Spreadsheet,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1992,-4,1994,-4,0,2.00,Moderate Risk,
,,2.00,Moderate Risk,NF00232,Lotus 1-2-3 5.0,wk4,Spreadsheet,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1994,-4,1997,-4,0,2.00,Moderate Risk,
,,2.00,Moderate Risk,NF00233,Lotus 1-2-3 Chart,pic,CAD/3D/Vector Graphics,-1,-1,2,0,0,0,-2,2,-1,-1,-1,-3,-1,0,0,-1,1,1,0,0,1,0,0,0,0,1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1983,-4,1997,-4,0,2.00,Moderate Risk,
,,12.00,Moderate Risk,NF00234,Lotus Approach 97,apr,Database,-1,2,2,-2,-1,0,-2,2,2,-1,2,3,0,1,1,-1,1,1,-1,2,1,0,0,-1,2,2,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,-1,2,0,0,0,1,1997,-4,2008,-2,0,12.00,Moderate Risk,
,,0.00,Moderate Risk,NF00235,Lotus Freelance 1-2.1,pre,Presentation/Publishing,-1,-1,0,0,0,-2,-2,0,-1,0,-1,-4,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,0.00,Moderate Risk,
,,0.00,Moderate Risk,NF00236,Lotus Freelance Smartmaster Graphics,mas,Presentation/Publishing,-1,-1,0,0,0,-2,-2,0,-1,0,-1,-4,-1,0,0,-1,1,1,0,0,0,0,0,0,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,0.00,Moderate Risk,
,,12.00,Moderate Risk,NF00237,Lotus Notes Database 2,nsf,Database,-1,2,2,-2,-1,0,-2,2,2,-1,2,3,0,1,1,-1,1,1,-1,2,1,0,0,-1,2,2,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,-1,2,0,0,0,1,2010,-2,2012,-2,0,12.00,Moderate Risk,
,,12.00,Moderate Risk,NF00238,Lotus Notes Database 3,nsf,Database,-1,2,2,-2,-1,0,-2,2,2,-1,2,3,0,1,1,-1,1,1,-1,2,1,0,0,-1,2,2,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,-1,2,0,0,0,1,2010,-2,2012,-2,0,12.00,Moderate Risk,
,,12.00,Moderate Risk,NF00239,Lotus Notes Database 4,nsf,Database,-1,2,2,-2,-1,0,-2,2,2,-1,2,3,0,1,1,-1,1,1,-1,2,1,0,0,-1,2,2,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,-1,2,0,0,0,1,2010,-2,2012,-2,0,12.00,Moderate Risk,
,,-26.00,High Risk,NF00240,MacPaint Graphics,pntg; mac,Digital Still Image,-1,-1,-1,-2,-1,-6,-2,-1,-1,-1,-1,-6,-1,-1,0,-1,-1,0,0,-4,0,0,0,-1,-1,-2,-4,2,-2,-2,0,-2,0,-4,-1,0,0,-1,-2,0,0,0,0,0,0,1984,-4,1988,-4,0,-26.00,High Risk,
